"timestamp"	"action"	"events"
2015-05-06	"search sessions"	11230991
2015-05-06	"Result pages opened"	4315944
2015-05-05	"search sessions"	688201
2015-05-05	"Result pages opened"	278765
2015-05-06	"clickthroughs"	528747
2015-05-08	"search sessions"	23601
2015-05-07	"search sessions"	99075
2015-05-11	"search sessions"	4593
2015-05-07	"Result pages opened"	39834
2015-05-08	"Result pages opened"	10082
2015-05-11	"Result pages opened"	1862
2015-05-05	"clickthroughs"	31751
2015-05-12	"Result pages opened"	1157
2015-05-09	"search sessions"	11428
2015-05-07	"clickthroughs"	6008
2015-05-12	"search sessions"	2663
2015-05-10	"clickthroughs"	443
2015-05-10	"Result pages opened"	2896
2015-05-10	"search sessions"	6646
2015-05-09	"Result pages opened"	4684
2015-05-08	"clickthroughs"	1456
2015-05-11	"clickthroughs"	332
2015-05-09	"clickthroughs"	731
2015-05-12	"clickthroughs"	137
